,515_WA_SNTL,606_WA_SNTL,1259_WA_SNTL,681_WA_SNTL,699_WA_SNTL,711_WA_SNTL,728_WA_SNTL,975_WA_SNTL,817_WA_SNTL,1171_WA_SNTL
2011-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-02,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-04,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-06,0.0254,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-07,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-08,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-09,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-11,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-12,0.17779999999999999,0.0254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-13,0.17779999999999999,0.0254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-14,0.127,0.0508,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-15,0.07619999999999999,0.0254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-16,0.1016,0.0508,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,0.07619999999999999,0.0508,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-18,0.0508,0.0508,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-19,0.0508,0.0254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-20,0.0254,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-21,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-22,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-25,0.0,0.0254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-26,0.0,0.0254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0254
